"symbol","datetime","signal_price","signal_filter","timeframe"
MOCAUSDT.P,2024-10-12 18:50:07.548,0.0762,2,2
MOCAUSDT.P,2024-10-12 15:18:51.101,0.07682,2,2
MOCAUSDT.P,2024-10-10 14:09:51.611,0.07514,3,3
MOCAUSDT.P,2024-10-10 14:04:51.444,0.0752,4,4
MOCAUSDT.P,2024-10-09 20:09:54.271,0.07873,4,4
MOCAUSDT.P,2024-10-09 16:04:24.260,0.08045,4,4
MOCAUSDT.P,2024-10-09 16:04:24.250,0.08045,3,3
MOCAUSDT.P,2024-10-09 15:04:35.686,0.0803,2,2
MOCAUSDT.P,2024-10-09 13:09:44.805,0.08286,2,2
MOCAUSDT.P,2024-10-09 13:09:44.796,0.08286,2,2
MOCAUSDT.P,2024-10-09 13:04:44.451,0.08254,2,2
MOCAUSDT.P,2024-10-09 10:59:57.152,0.08509,2,2
MOCAUSDT.P,2024-10-09 06:59:03.425,0.08698,2,2
